184, 538
decrease 10 2
decrease 9 2
decrease 8 2
decrease 7 2
double 6 4
increase 12 2
double 13 8
square 26 164
decrease 676 2
decrease 675 2
decrease 674 2
decrease 673 2
decrease 672 2
decrease 671 2
decrease 670 2
decrease 669 2
decrease 668 2
decrease 667 2
decrease 666 2
decrease 665 2
decrease 664 2
decrease 663 2
decrease 662 2
decrease 661 2
decrease 660 2
decrease 659 2
decrease 658 2
decrease 657 2
decrease 656 2
decrease 655 2
decrease 654 2
decrease 653 2
decrease 652 2
decrease 651 2
decrease 650 2
decrease 649 2
decrease 648 2
decrease 647 2
decrease 646 2
decrease 645 2
decrease 644 2
decrease 643 2
decrease 642 2
decrease 641 2
decrease 640 2
decrease 639 2
decrease 638 2
decrease 637 2
decrease 636 2
decrease 635 2
decrease 634 2
decrease 633 2
decrease 632 2
decrease 631 2
decrease 630 2
decrease 629 2
decrease 628 2
decrease 627 2
decrease 626 2
decrease 625 2
decrease 624 2
decrease 623 2
decrease 622 2
decrease 621 2
decrease 620 2
decrease 619 2
decrease 618 2
decrease 617 2
decrease 616 2
decrease 615 2
decrease 614 2
decrease 613 2
decrease 612 2
decrease 611 2
decrease 610 2
decrease 609 2
decrease 608 2
decrease 607 2
decrease 606 2
decrease 605 2
decrease 604 2
decrease 603 2
decrease 602 2
decrease 601 2
decrease 600 2
decrease 599 2
decrease 598 2
decrease 597 2
decrease 596 2
decrease 595 2
decrease 594 2
decrease 593 2
decrease 592 2
decrease 591 2
decrease 590 2
decrease 589 2
decrease 588 2
decrease 587 2
decrease 586 2
decrease 585 2
decrease 584 2
decrease 583 2
decrease 582 2
decrease 581 2
decrease 580 2
decrease 579 2
decrease 578 2
decrease 577 2
decrease 576 2
decrease 575 2
decrease 574 2
decrease 573 2
decrease 572 2
decrease 571 2
decrease 570 2
decrease 569 2
decrease 568 2
decrease 567 2
decrease 566 2
decrease 565 2
decrease 564 2
decrease 563 2
decrease 562 2
decrease 561 2
decrease 560 2
decrease 559 2
decrease 558 2
decrease 557 2
decrease 556 2
decrease 555 2
decrease 554 2
decrease 553 2
decrease 552 2
decrease 551 2
decrease 550 2
decrease 549 2
decrease 548 2
decrease 547 2
decrease 546 2
decrease 545 2
decrease 544 2
decrease 543 2
decrease 542 2
decrease 541 2
decrease 540 2
decrease 539 2
decrease 538 2
decrease 537 2
decrease 536 2
decrease 535 2
decrease 534 2
decrease 533 2
decrease 532 2
decrease 531 2
decrease 530 2
decrease 529 2
decrease 528 2
decrease 527 2
decrease 526 2
decrease 525 2
decrease 524 2
decrease 523 2
decrease 522 2
decrease 521 2
decrease 520 2
decrease 519 2
decrease 518 2
decrease 517 2
decrease 516 2
decrease 515 2
decrease 514 2
decrease 513 2
decrease 512 2
decrease 511 2
decrease 510 2
decrease 509 2
decrease 508 2
decrease 507 2
decrease 506 2
decrease 505 2
decrease 504 2
decrease 503 2
decrease 502 2
decrease 501 2
