157, 315
decrease 5 2
decrease 4 2
double 3 3
increase 6 2
increase 7 2
increase 8 2
increase 9 2
increase 10 2
increase 11 2
increase 12 2
increase 13 2
increase 14 2
increase 15 2
increase 16 2
increase 17 2
increase 18 2
increase 19 2
increase 20 2
increase 21 2
increase 22 2
increase 23 2
increase 24 2
increase 25 2
increase 26 2
increase 27 2
increase 28 2
increase 29 2
increase 30 2
increase 31 2
increase 32 2
increase 33 2
increase 34 2
increase 35 2
increase 36 2
increase 37 2
increase 38 2
increase 39 2
increase 40 2
increase 41 2
increase 42 2
increase 43 2
increase 44 2
increase 45 2
increase 46 2
increase 47 2
increase 48 2
increase 49 2
increase 50 2
increase 51 2
increase 52 2
increase 53 2
increase 54 2
increase 55 2
increase 56 2
increase 57 2
increase 58 2
increase 59 2
increase 60 2
increase 61 2
increase 62 2
increase 63 2
increase 64 2
increase 65 2
increase 66 2
increase 67 2
increase 68 2
increase 69 2
increase 70 2
increase 71 2
increase 72 2
increase 73 2
increase 74 2
increase 75 2
increase 76 2
increase 77 2
increase 78 2
increase 79 2
increase 80 2
increase 81 2
increase 82 2
increase 83 2
increase 84 2
increase 85 2
increase 86 2
increase 87 2
increase 88 2
increase 89 2
increase 90 2
increase 91 2
increase 92 2
increase 93 2
increase 94 2
increase 95 2
increase 96 2
increase 97 2
increase 98 2
increase 99 2
increase 100 2
increase 101 2
increase 102 2
increase 103 2
increase 104 2
increase 105 2
increase 106 2
increase 107 2
increase 108 2
increase 109 2
increase 110 2
increase 111 2
increase 112 2
increase 113 2
increase 114 2
increase 115 2
increase 116 2
increase 117 2
increase 118 2
increase 119 2
increase 120 2
increase 121 2
increase 122 2
increase 123 2
increase 124 2
increase 125 2
increase 126 2
increase 127 2
increase 128 2
increase 129 2
increase 130 2
increase 131 2
increase 132 2
increase 133 2
increase 134 2
increase 135 2
increase 136 2
increase 137 2
increase 138 2
increase 139 2
increase 140 2
increase 141 2
increase 142 2
increase 143 2
increase 144 2
increase 145 2
increase 146 2
increase 147 2
increase 148 2
increase 149 2
increase 150 2
increase 151 2
increase 152 2
increase 153 2
increase 154 2
increase 155 2
increase 156 2
increase 157 2
increase 158 2
increase 159 2
