10818, 31881
decrease 40461 2
decrease 40460 2
decrease 40459 2
decrease 40458 2
decrease 40457 2
decrease 40456 2
decrease 40455 2
decrease 40454 2
decrease 40453 2
decrease 40452 2
decrease 40451 2
decrease 40450 2
decrease 40449 2
decrease 40448 2
decrease 40447 2
decrease 40446 2
decrease 40445 2
decrease 40444 2
decrease 40443 2
decrease 40442 2
decrease 40441 2
decrease 40440 2
decrease 40439 2
decrease 40438 2
decrease 40437 2
decrease 40436 2
decrease 40435 2
decrease 40434 2
decrease 40433 2
decrease 40432 2
decrease 40431 2
decrease 40430 2
decrease 40429 2
decrease 40428 2
decrease 40427 2
decrease 40426 2
decrease 40425 2
decrease 40424 2
decrease 40423 2
decrease 40422 2
decrease 40421 2
decrease 40420 2
decrease 40419 2
decrease 40418 2
decrease 40417 2
decrease 40416 2
decrease 40415 2
decrease 40414 2
decrease 40413 2
decrease 40412 2
decrease 40411 2
decrease 40410 2
decrease 40409 2
decrease 40408 2
decrease 40407 2
decrease 40406 2
decrease 40405 2
decrease 40404 2
decrease 40403 2
decrease 40402 2
decrease 40401 2
decrease 40400 2
decrease 40399 2
decrease 40398 2
decrease 40397 2
decrease 40396 2
decrease 40395 2
decrease 40394 2
decrease 40393 2
decrease 40392 2
decrease 40391 2
decrease 40390 2
decrease 40389 2
decrease 40388 2
decrease 40387 2
decrease 40386 2
decrease 40385 2
decrease 40384 2
decrease 40383 2
decrease 40382 2
decrease 40381 2
decrease 40380 2
decrease 40379 2
decrease 40378 2
decrease 40377 2
decrease 40376 2
decrease 40375 2
decrease 40374 2
decrease 40373 2
decrease 40372 2
decrease 40371 2
decrease 40370 2
decrease 40369 2
decrease 40368 2
decrease 40367 2
decrease 40366 2
decrease 40365 2
decrease 40364 2
decrease 40363 2
decrease 40362 2
decrease 40361 2
decrease 40360 2
decrease 40359 2
decrease 40358 2
decrease 40357 2
decrease 40356 2
decrease 40355 2
decrease 40354 2
decrease 40353 2
decrease 40352 2
decrease 40351 2
decrease 40350 2
decrease 40349 2
decrease 40348 2
decrease 40347 2
decrease 40346 2
decrease 40345 2
decrease 40344 2
decrease 40343 2
decrease 40342 2
decrease 40341 2
decrease 40340 2
decrease 40339 2
decrease 40338 2
decrease 40337 2
decrease 40336 2
decrease 40335 2
decrease 40334 2
decrease 40333 2
decrease 40332 2
decrease 40331 2
decrease 40330 2
decrease 40329 2
decrease 40328 2
decrease 40327 2
decrease 40326 2
decrease 40325 2
decrease 40324 2
decrease 40323 2
decrease 40322 2
decrease 40321 2
decrease 40320 2
decrease 40319 2
decrease 40318 2
decrease 40317 2
decrease 40316 2
decrease 40315 2
decrease 40314 2
decrease 40313 2
decrease 40312 2
decrease 40311 2
decrease 40310 2
decrease 40309 2
decrease 40308 2
decrease 40307 2
decrease 40306 2
decrease 40305 2
decrease 40304 2
decrease 40303 2
decrease 40302 2
decrease 40301 2
decrease 40300 2
decrease 40299 2
decrease 40298 2
decrease 40297 2
decrease 40296 2
decrease 40295 2
decrease 40294 2
decrease 40293 2
decrease 40292 2
decrease 40291 2
decrease 40290 2
decrease 40289 2
decrease 40288 2
decrease 40287 2
decrease 40286 2
decrease 40285 2
decrease 40284 2
decrease 40283 2
decrease 40282 2
decrease 40281 2
decrease 40280 2
decrease 40279 2
decrease 40278 2
decrease 40277 2
decrease 40276 2
decrease 40275 2
decrease 40274 2
decrease 40273 2
decrease 40272 2
decrease 40271 2
decrease 40270 2
decrease 40269 2
decrease 40268 2
decrease 40267 2
decrease 40266 2
decrease 40265 2
decrease 40264 2
decrease 40263 2
decrease 40262 2
decrease 40261 2
decrease 40260 2
decrease 40259 2
decrease 40258 2
decrease 40257 2
decrease 40256 2
decrease 40255 2
decrease 40254 2
decrease 40253 2
decrease 40252 2
decrease 40251 2
decrease 40250 2
decrease 40249 2
decrease 40248 2
decrease 40247 2
decrease 40246 2
decrease 40245 2
decrease 40244 2
decrease 40243 2
decrease 40242 2
decrease 40241 2
decrease 40240 2
decrease 40239 2
decrease 40238 2
decrease 40237 2
decrease 40236 2
decrease 40235 2
decrease 40234 2
decrease 40233 2
decrease 40232 2
decrease 40231 2
decrease 40230 2
decrease 40229 2
decrease 40228 2
decrease 40227 2
decrease 40226 2
decrease 40225 2
decrease 40224 2
decrease 40223 2
decrease 40222 2
decrease 40221 2
decrease 40220 2
decrease 40219 2
decrease 40218 2
decrease 40217 2
decrease 40216 2
decrease 40215 2
decrease 40214 2
decrease 40213 2
decrease 40212 2
decrease 40211 2
decrease 40210 2
decrease 40209 2
decrease 40208 2
decrease 40207 2
decrease 40206 2
decrease 40205 2
decrease 40204 2
decrease 40203 2
decrease 40202 2
decrease 40201 2
decrease 40200 2
decrease 40199 2
decrease 40198 2
decrease 40197 2
decrease 40196 2
decrease 40195 2
decrease 40194 2
decrease 40193 2
decrease 40192 2
decrease 40191 2
decrease 40190 2
decrease 40189 2
decrease 40188 2
decrease 40187 2
decrease 40186 2
decrease 40185 2
decrease 40184 2
decrease 40183 2
decrease 40182 2
decrease 40181 2
decrease 40180 2
decrease 40179 2
decrease 40178 2
decrease 40177 2
decrease 40176 2
decrease 40175 2
decrease 40174 2
decrease 40173 2
decrease 40172 2
decrease 40171 2
decrease 40170 2
decrease 40169 2
decrease 40168 2
decrease 40167 2
decrease 40166 2
decrease 40165 2
decrease 40164 2
decrease 40163 2
decrease 40162 2
decrease 40161 2
decrease 40160 2
decrease 40159 2
decrease 40158 2
decrease 40157 2
decrease 40156 2
decrease 40155 2
decrease 40154 2
decrease 40153 2
decrease 40152 2
decrease 40151 2
decrease 40150 2
decrease 40149 2
decrease 40148 2
decrease 40147 2
decrease 40146 2
decrease 40145 2
decrease 40144 2
decrease 40143 2
decrease 40142 2
decrease 40141 2
decrease 40140 2
decrease 40139 2
decrease 40138 2
decrease 40137 2
decrease 40136 2
decrease 40135 2
decrease 40134 2
decrease 40133 2
decrease 40132 2
decrease 40131 2
decrease 40130 2
decrease 40129 2
decrease 40128 2
decrease 40127 2
decrease 40126 2
decrease 40125 2
decrease 40124 2
decrease 40123 2
decrease 40122 2
decrease 40121 2
decrease 40120 2
decrease 40119 2
decrease 40118 2
decrease 40117 2
decrease 40116 2
decrease 40115 2
decrease 40114 2
decrease 40113 2
decrease 40112 2
decrease 40111 2
decrease 40110 2
decrease 40109 2
decrease 40108 2
decrease 40107 2
decrease 40106 2
decrease 40105 2
decrease 40104 2
decrease 40103 2
decrease 40102 2
decrease 40101 2
decrease 40100 2
decrease 40099 2
decrease 40098 2
decrease 40097 2
decrease 40096 2
decrease 40095 2
decrease 40094 2
decrease 40093 2
decrease 40092 2
decrease 40091 2
decrease 40090 2
decrease 40089 2
decrease 40088 2
decrease 40087 2
decrease 40086 2
decrease 40085 2
decrease 40084 2
decrease 40083 2
decrease 40082 2
decrease 40081 2
decrease 40080 2
decrease 40079 2
decrease 40078 2
decrease 40077 2
decrease 40076 2
decrease 40075 2
decrease 40074 2
decrease 40073 2
decrease 40072 2
decrease 40071 2
decrease 40070 2
decrease 40069 2
decrease 40068 2
decrease 40067 2
decrease 40066 2
decrease 40065 2
decrease 40064 2
decrease 40063 2
decrease 40062 2
decrease 40061 2
decrease 40060 2
decrease 40059 2
decrease 40058 2
decrease 40057 2
decrease 40056 2
decrease 40055 2
decrease 40054 2
decrease 40053 2
decrease 40052 2
decrease 40051 2
decrease 40050 2
decrease 40049 2
decrease 40048 2
decrease 40047 2
decrease 40046 2
decrease 40045 2
decrease 40044 2
decrease 40043 2
decrease 40042 2
decrease 40041 2
decrease 40040 2
decrease 40039 2
decrease 40038 2
decrease 40037 2
decrease 40036 2
decrease 40035 2
decrease 40034 2
decrease 40033 2
decrease 40032 2
decrease 40031 2
decrease 40030 2
decrease 40029 2
decrease 40028 2
decrease 40027 2
decrease 40026 2
decrease 40025 2
decrease 40024 2
decrease 40023 2
decrease 40022 2
decrease 40021 2
decrease 40020 2
decrease 40019 2
decrease 40018 2
decrease 40017 2
decrease 40016 2
decrease 40015 2
decrease 40014 2
decrease 40013 2
decrease 40012 2
decrease 40011 2
decrease 40010 2
decrease 40009 2
decrease 40008 2
decrease 40007 2
decrease 40006 2
decrease 40005 2
decrease 40004 2
decrease 40003 2
decrease 40002 2
decrease 40001 2
decrease 40000 2
decrease 39999 2
decrease 39998 2
decrease 39997 2
decrease 39996 2
decrease 39995 2
decrease 39994 2
decrease 39993 2
decrease 39992 2
decrease 39991 2
decrease 39990 2
decrease 39989 2
decrease 39988 2
decrease 39987 2
decrease 39986 2
decrease 39985 2
decrease 39984 2
decrease 39983 2
decrease 39982 2
decrease 39981 2
decrease 39980 2
decrease 39979 2
decrease 39978 2
decrease 39977 2
decrease 39976 2
decrease 39975 2
