3479, 13175
square 45 496
decrease 2025 2
decrease 2024 2
decrease 2023 2
decrease 2022 2
decrease 2021 2
decrease 2020 2
decrease 2019 2
decrease 2018 2
decrease 2017 2
decrease 2016 2
decrease 2015 2
decrease 2014 2
decrease 2013 2
decrease 2012 2
decrease 2011 2
decrease 2010 2
decrease 2009 2
decrease 2008 2
decrease 2007 2
decrease 2006 2
decrease 2005 2
decrease 2004 2
decrease 2003 2
decrease 2002 2
decrease 2001 2
decrease 2000 2
decrease 1999 2
decrease 1998 2
decrease 1997 2
decrease 1996 2
decrease 1995 2
decrease 1994 2
decrease 1993 2
decrease 1992 2
decrease 1991 2
decrease 1990 2
decrease 1989 2
decrease 1988 2
decrease 1987 2
decrease 1986 2
decrease 1985 2
decrease 1984 2
decrease 1983 2
decrease 1982 2
decrease 1981 2
decrease 1980 2
decrease 1979 2
decrease 1978 2
decrease 1977 2
decrease 1976 2
decrease 1975 2
decrease 1974 2
decrease 1973 2
decrease 1972 2
decrease 1971 2
decrease 1970 2
decrease 1969 2
decrease 1968 2
decrease 1967 2
decrease 1966 2
decrease 1965 2
decrease 1964 2
decrease 1963 2
decrease 1962 2
decrease 1961 2
decrease 1960 2
decrease 1959 2
decrease 1958 2
decrease 1957 2
decrease 1956 2
decrease 1955 2
decrease 1954 2
decrease 1953 2
decrease 1952 2
decrease 1951 2
decrease 1950 2
decrease 1949 2
decrease 1948 2
decrease 1947 2
decrease 1946 2
decrease 1945 2
decrease 1944 2
decrease 1943 2
decrease 1942 2
decrease 1941 2
decrease 1940 2
decrease 1939 2
decrease 1938 2
decrease 1937 2
decrease 1936 2
decrease 1935 2
decrease 1934 2
decrease 1933 2
decrease 1932 2
decrease 1931 2
decrease 1930 2
decrease 1929 2
decrease 1928 2
decrease 1927 2
decrease 1926 2
decrease 1925 2
decrease 1924 2
decrease 1923 2
decrease 1922 2
decrease 1921 2
decrease 1920 2
decrease 1919 2
decrease 1918 2
decrease 1917 2
decrease 1916 2
decrease 1915 2
decrease 1914 2
decrease 1913 2
decrease 1912 2
decrease 1911 2
decrease 1910 2
decrease 1909 2
decrease 1908 2
decrease 1907 2
decrease 1906 2
decrease 1905 2
decrease 1904 2
decrease 1903 2
decrease 1902 2
decrease 1901 2
decrease 1900 2
decrease 1899 2
decrease 1898 2
decrease 1897 2
decrease 1896 2
decrease 1895 2
decrease 1894 2
decrease 1893 2
decrease 1892 2
decrease 1891 2
decrease 1890 2
decrease 1889 2
decrease 1888 2
decrease 1887 2
decrease 1886 2
decrease 1885 2
decrease 1884 2
decrease 1883 2
decrease 1882 2
decrease 1881 2
decrease 1880 2
decrease 1879 2
decrease 1878 2
decrease 1877 2
decrease 1876 2
decrease 1875 2
decrease 1874 2
decrease 1873 2
decrease 1872 2
decrease 1871 2
decrease 1870 2
decrease 1869 2
decrease 1868 2
decrease 1867 2
decrease 1866 2
decrease 1865 2
decrease 1864 2
decrease 1863 2
decrease 1862 2
decrease 1861 2
decrease 1860 2
decrease 1859 2
decrease 1858 2
decrease 1857 2
decrease 1856 2
decrease 1855 2
decrease 1854 2
decrease 1853 2
decrease 1852 2
decrease 1851 2
decrease 1850 2
decrease 1849 2
decrease 1848 2
decrease 1847 2
decrease 1846 2
decrease 1845 2
decrease 1844 2
decrease 1843 2
decrease 1842 2
decrease 1841 2
decrease 1840 2
decrease 1839 2
decrease 1838 2
decrease 1837 2
decrease 1836 2
decrease 1835 2
decrease 1834 2
decrease 1833 2
decrease 1832 2
decrease 1831 2
decrease 1830 2
decrease 1829 2
decrease 1828 2
decrease 1827 2
decrease 1826 2
decrease 1825 2
decrease 1824 2
decrease 1823 2
decrease 1822 2
decrease 1821 2
decrease 1820 2
decrease 1819 2
decrease 1818 2
decrease 1817 2
decrease 1816 2
decrease 1815 2
decrease 1814 2
decrease 1813 2
decrease 1812 2
decrease 1811 2
decrease 1810 2
double 1809 906
double 3618 1810
decrease 7236 2
decrease 7235 2
decrease 7234 2
decrease 7233 2
decrease 7232 2
decrease 7231 2
decrease 7230 2
decrease 7229 2
decrease 7228 2
decrease 7227 2
decrease 7226 2
decrease 7225 2
decrease 7224 2
decrease 7223 2
decrease 7222 2
decrease 7221 2
decrease 7220 2
decrease 7219 2
decrease 7218 2
decrease 7217 2
decrease 7216 2
decrease 7215 2
decrease 7214 2
decrease 7213 2
decrease 7212 2
decrease 7211 2
decrease 7210 2
decrease 7209 2
decrease 7208 2
decrease 7207 2
decrease 7206 2
