9998, 19996
decrease 9646 2
decrease 9645 2
decrease 9644 2
decrease 9643 2
decrease 9642 2
decrease 9641 2
decrease 9640 2
decrease 9639 2
decrease 9638 2
decrease 9637 2
decrease 9636 2
decrease 9635 2
decrease 9634 2
decrease 9633 2
decrease 9632 2
decrease 9631 2
decrease 9630 2
decrease 9629 2
decrease 9628 2
decrease 9627 2
decrease 9626 2
decrease 9625 2
decrease 9624 2
decrease 9623 2
decrease 9622 2
decrease 9621 2
decrease 9620 2
decrease 9619 2
decrease 9618 2
decrease 9617 2
decrease 9616 2
decrease 9615 2
decrease 9614 2
decrease 9613 2
decrease 9612 2
decrease 9611 2
decrease 9610 2
decrease 9609 2
decrease 9608 2
decrease 9607 2
decrease 9606 2
decrease 9605 2
decrease 9604 2
decrease 9603 2
decrease 9602 2
decrease 9601 2
decrease 9600 2
decrease 9599 2
decrease 9598 2
decrease 9597 2
decrease 9596 2
decrease 9595 2
decrease 9594 2
decrease 9593 2
decrease 9592 2
decrease 9591 2
decrease 9590 2
decrease 9589 2
decrease 9588 2
decrease 9587 2
decrease 9586 2
decrease 9585 2
decrease 9584 2
decrease 9583 2
decrease 9582 2
decrease 9581 2
decrease 9580 2
decrease 9579 2
decrease 9578 2
decrease 9577 2
decrease 9576 2
decrease 9575 2
decrease 9574 2
decrease 9573 2
decrease 9572 2
decrease 9571 2
decrease 9570 2
decrease 9569 2
decrease 9568 2
decrease 9567 2
decrease 9566 2
decrease 9565 2
decrease 9564 2
decrease 9563 2
decrease 9562 2
decrease 9561 2
decrease 9560 2
decrease 9559 2
decrease 9558 2
decrease 9557 2
decrease 9556 2
decrease 9555 2
decrease 9554 2
decrease 9553 2
decrease 9552 2
decrease 9551 2
decrease 9550 2
decrease 9549 2
decrease 9548 2
decrease 9547 2
decrease 9546 2
decrease 9545 2
decrease 9544 2
decrease 9543 2
decrease 9542 2
decrease 9541 2
decrease 9540 2
decrease 9539 2
decrease 9538 2
decrease 9537 2
decrease 9536 2
decrease 9535 2
decrease 9534 2
decrease 9533 2
decrease 9532 2
decrease 9531 2
decrease 9530 2
decrease 9529 2
decrease 9528 2
decrease 9527 2
decrease 9526 2
decrease 9525 2
decrease 9524 2
decrease 9523 2
decrease 9522 2
decrease 9521 2
decrease 9520 2
decrease 9519 2
decrease 9518 2
decrease 9517 2
decrease 9516 2
decrease 9515 2
decrease 9514 2
decrease 9513 2
decrease 9512 2
decrease 9511 2
decrease 9510 2
decrease 9509 2
decrease 9508 2
decrease 9507 2
decrease 9506 2
decrease 9505 2
decrease 9504 2
decrease 9503 2
decrease 9502 2
decrease 9501 2
decrease 9500 2
decrease 9499 2
decrease 9498 2
decrease 9497 2
decrease 9496 2
decrease 9495 2
decrease 9494 2
decrease 9493 2
decrease 9492 2
decrease 9491 2
decrease 9490 2
decrease 9489 2
decrease 9488 2
decrease 9487 2
decrease 9486 2
decrease 9485 2
decrease 9484 2
decrease 9483 2
decrease 9482 2
decrease 9481 2
decrease 9480 2
decrease 9479 2
decrease 9478 2
decrease 9477 2
decrease 9476 2
decrease 9475 2
decrease 9474 2
decrease 9473 2
decrease 9472 2
decrease 9471 2
decrease 9470 2
decrease 9469 2
decrease 9468 2
decrease 9467 2
decrease 9466 2
decrease 9465 2
decrease 9464 2
decrease 9463 2
decrease 9462 2
decrease 9461 2
decrease 9460 2
decrease 9459 2
decrease 9458 2
decrease 9457 2
decrease 9456 2
decrease 9455 2
decrease 9454 2
decrease 9453 2
decrease 9452 2
decrease 9451 2
decrease 9450 2
decrease 9449 2
decrease 9448 2
decrease 9447 2
decrease 9446 2
decrease 9445 2
decrease 9444 2
decrease 9443 2
decrease 9442 2
decrease 9441 2
decrease 9440 2
decrease 9439 2
decrease 9438 2
decrease 9437 2
decrease 9436 2
decrease 9435 2
decrease 9434 2
decrease 9433 2
decrease 9432 2
decrease 9431 2
decrease 9430 2
decrease 9429 2
decrease 9428 2
decrease 9427 2
decrease 9426 2
decrease 9425 2
decrease 9424 2
decrease 9423 2
decrease 9422 2
decrease 9421 2
decrease 9420 2
decrease 9419 2
decrease 9418 2
decrease 9417 2
decrease 9416 2
decrease 9415 2
decrease 9414 2
decrease 9413 2
decrease 9412 2
decrease 9411 2
decrease 9410 2
decrease 9409 2
decrease 9408 2
decrease 9407 2
decrease 9406 2
decrease 9405 2
decrease 9404 2
decrease 9403 2
decrease 9402 2
decrease 9401 2
decrease 9400 2
decrease 9399 2
decrease 9398 2
decrease 9397 2
decrease 9396 2
decrease 9395 2
decrease 9394 2
decrease 9393 2
decrease 9392 2
decrease 9391 2
decrease 9390 2
decrease 9389 2
decrease 9388 2
decrease 9387 2
decrease 9386 2
decrease 9385 2
decrease 9384 2
decrease 9383 2
decrease 9382 2
decrease 9381 2
decrease 9380 2
decrease 9379 2
decrease 9378 2
decrease 9377 2
decrease 9376 2
decrease 9375 2
decrease 9374 2
decrease 9373 2
decrease 9372 2
decrease 9371 2
decrease 9370 2
decrease 9369 2
decrease 9368 2
decrease 9367 2
decrease 9366 2
decrease 9365 2
decrease 9364 2
decrease 9363 2
decrease 9362 2
decrease 9361 2
decrease 9360 2
decrease 9359 2
decrease 9358 2
decrease 9357 2
decrease 9356 2
decrease 9355 2
decrease 9354 2
decrease 9353 2
decrease 9352 2
decrease 9351 2
decrease 9350 2
decrease 9349 2
decrease 9348 2
decrease 9347 2
decrease 9346 2
decrease 9345 2
decrease 9344 2
decrease 9343 2
decrease 9342 2
decrease 9341 2
decrease 9340 2
decrease 9339 2
decrease 9338 2
decrease 9337 2
decrease 9336 2
decrease 9335 2
decrease 9334 2
decrease 9333 2
decrease 9332 2
decrease 9331 2
decrease 9330 2
decrease 9329 2
decrease 9328 2
decrease 9327 2
decrease 9326 2
decrease 9325 2
decrease 9324 2
decrease 9323 2
decrease 9322 2
decrease 9321 2
decrease 9320 2
decrease 9319 2
decrease 9318 2
decrease 9317 2
decrease 9316 2
decrease 9315 2
decrease 9314 2
decrease 9313 2
decrease 9312 2
decrease 9311 2
decrease 9310 2
decrease 9309 2
decrease 9308 2
decrease 9307 2
decrease 9306 2
decrease 9305 2
decrease 9304 2
decrease 9303 2
decrease 9302 2
decrease 9301 2
decrease 9300 2
decrease 9299 2
decrease 9298 2
decrease 9297 2
decrease 9296 2
decrease 9295 2
decrease 9294 2
decrease 9293 2
decrease 9292 2
decrease 9291 2
decrease 9290 2
decrease 9289 2
decrease 9288 2
decrease 9287 2
decrease 9286 2
decrease 9285 2
decrease 9284 2
decrease 9283 2
decrease 9282 2
decrease 9281 2
decrease 9280 2
decrease 9279 2
decrease 9278 2
decrease 9277 2
decrease 9276 2
decrease 9275 2
decrease 9274 2
decrease 9273 2
decrease 9272 2
decrease 9271 2
decrease 9270 2
decrease 9269 2
decrease 9268 2
decrease 9267 2
decrease 9266 2
decrease 9265 2
decrease 9264 2
decrease 9263 2
decrease 9262 2
decrease 9261 2
decrease 9260 2
decrease 9259 2
decrease 9258 2
decrease 9257 2
decrease 9256 2
decrease 9255 2
decrease 9254 2
decrease 9253 2
decrease 9252 2
decrease 9251 2
decrease 9250 2
decrease 9249 2
decrease 9248 2
decrease 9247 2
decrease 9246 2
decrease 9245 2
decrease 9244 2
decrease 9243 2
decrease 9242 2
decrease 9241 2
decrease 9240 2
decrease 9239 2
decrease 9238 2
decrease 9237 2
decrease 9236 2
decrease 9235 2
decrease 9234 2
decrease 9233 2
decrease 9232 2
decrease 9231 2
decrease 9230 2
decrease 9229 2
decrease 9228 2
decrease 9227 2
decrease 9226 2
decrease 9225 2
decrease 9224 2
decrease 9223 2
decrease 9222 2
decrease 9221 2
decrease 9220 2
decrease 9219 2
decrease 9218 2
decrease 9217 2
decrease 9216 2
decrease 9215 2
decrease 9214 2
decrease 9213 2
decrease 9212 2
decrease 9211 2
decrease 9210 2
decrease 9209 2
decrease 9208 2
decrease 9207 2
decrease 9206 2
decrease 9205 2
decrease 9204 2
decrease 9203 2
decrease 9202 2
decrease 9201 2
decrease 9200 2
decrease 9199 2
decrease 9198 2
decrease 9197 2
decrease 9196 2
decrease 9195 2
decrease 9194 2
decrease 9193 2
decrease 9192 2
decrease 9191 2
decrease 9190 2
decrease 9189 2
decrease 9188 2
decrease 9187 2
decrease 9186 2
decrease 9185 2
decrease 9184 2
decrease 9183 2
decrease 9182 2
decrease 9181 2
decrease 9180 2
decrease 9179 2
decrease 9178 2
decrease 9177 2
decrease 9176 2
decrease 9175 2
decrease 9174 2
decrease 9173 2
decrease 9172 2
decrease 9171 2
decrease 9170 2
decrease 9169 2
decrease 9168 2
decrease 9167 2
decrease 9166 2
decrease 9165 2
decrease 9164 2
decrease 9163 2
decrease 9162 2
decrease 9161 2
decrease 9160 2
decrease 9159 2
decrease 9158 2
decrease 9157 2
decrease 9156 2
decrease 9155 2
decrease 9154 2
decrease 9153 2
decrease 9152 2
decrease 9151 2
decrease 9150 2
decrease 9149 2
decrease 9148 2
decrease 9147 2
decrease 9146 2
decrease 9145 2
decrease 9144 2
decrease 9143 2
decrease 9142 2
decrease 9141 2
decrease 9140 2
decrease 9139 2
decrease 9138 2
decrease 9137 2
decrease 9136 2
decrease 9135 2
decrease 9134 2
decrease 9133 2
decrease 9132 2
decrease 9131 2
decrease 9130 2
decrease 9129 2
decrease 9128 2
decrease 9127 2
decrease 9126 2
decrease 9125 2
decrease 9124 2
decrease 9123 2
decrease 9122 2
decrease 9121 2
decrease 9120 2
decrease 9119 2
decrease 9118 2
decrease 9117 2
decrease 9116 2
decrease 9115 2
decrease 9114 2
decrease 9113 2
decrease 9112 2
decrease 9111 2
decrease 9110 2
decrease 9109 2
decrease 9108 2
decrease 9107 2
decrease 9106 2
decrease 9105 2
decrease 9104 2
decrease 9103 2
decrease 9102 2
decrease 9101 2
decrease 9100 2
decrease 9099 2
decrease 9098 2
decrease 9097 2
decrease 9096 2
decrease 9095 2
decrease 9094 2
decrease 9093 2
decrease 9092 2
decrease 9091 2
decrease 9090 2
decrease 9089 2
decrease 9088 2
decrease 9087 2
decrease 9086 2
decrease 9085 2
decrease 9084 2
decrease 9083 2
decrease 9082 2
decrease 9081 2
decrease 9080 2
decrease 9079 2
decrease 9078 2
decrease 9077 2
decrease 9076 2
decrease 9075 2
decrease 9074 2
decrease 9073 2
decrease 9072 2
decrease 9071 2
decrease 9070 2
decrease 9069 2
decrease 9068 2
decrease 9067 2
decrease 9066 2
decrease 9065 2
decrease 9064 2
decrease 9063 2
decrease 9062 2
decrease 9061 2
decrease 9060 2
decrease 9059 2
decrease 9058 2
decrease 9057 2
decrease 9056 2
decrease 9055 2
decrease 9054 2
decrease 9053 2
decrease 9052 2
decrease 9051 2
decrease 9050 2
decrease 9049 2
decrease 9048 2
decrease 9047 2
decrease 9046 2
decrease 9045 2
decrease 9044 2
decrease 9043 2
decrease 9042 2
decrease 9041 2
decrease 9040 2
decrease 9039 2
decrease 9038 2
decrease 9037 2
decrease 9036 2
decrease 9035 2
decrease 9034 2
decrease 9033 2
decrease 9032 2
decrease 9031 2
decrease 9030 2
decrease 9029 2
decrease 9028 2
decrease 9027 2
decrease 9026 2
decrease 9025 2
decrease 9024 2
decrease 9023 2
decrease 9022 2
decrease 9021 2
decrease 9020 2
decrease 9019 2
decrease 9018 2
decrease 9017 2
decrease 9016 2
decrease 9015 2
decrease 9014 2
decrease 9013 2
decrease 9012 2
decrease 9011 2
decrease 9010 2
decrease 9009 2
decrease 9008 2
decrease 9007 2
decrease 9006 2
decrease 9005 2
decrease 9004 2
decrease 9003 2
decrease 9002 2
decrease 9001 2
decrease 9000 2
decrease 8999 2
decrease 8998 2
decrease 8997 2
decrease 8996 2
decrease 8995 2
decrease 8994 2
decrease 8993 2
decrease 8992 2
decrease 8991 2
decrease 8990 2
decrease 8989 2
decrease 8988 2
decrease 8987 2
decrease 8986 2
decrease 8985 2
decrease 8984 2
decrease 8983 2
decrease 8982 2
decrease 8981 2
decrease 8980 2
decrease 8979 2
decrease 8978 2
decrease 8977 2
decrease 8976 2
decrease 8975 2
decrease 8974 2
decrease 8973 2
decrease 8972 2
decrease 8971 2
decrease 8970 2
decrease 8969 2
decrease 8968 2
decrease 8967 2
decrease 8966 2
decrease 8965 2
decrease 8964 2
decrease 8963 2
decrease 8962 2
decrease 8961 2
decrease 8960 2
decrease 8959 2
decrease 8958 2
decrease 8957 2
decrease 8956 2
decrease 8955 2
decrease 8954 2
decrease 8953 2
decrease 8952 2
decrease 8951 2
decrease 8950 2
decrease 8949 2
decrease 8948 2
decrease 8947 2
decrease 8946 2
decrease 8945 2
decrease 8944 2
decrease 8943 2
decrease 8942 2
decrease 8941 2
decrease 8940 2
decrease 8939 2
decrease 8938 2
decrease 8937 2
decrease 8936 2
decrease 8935 2
decrease 8934 2
decrease 8933 2
decrease 8932 2
decrease 8931 2
decrease 8930 2
decrease 8929 2
decrease 8928 2
decrease 8927 2
decrease 8926 2
decrease 8925 2
decrease 8924 2
decrease 8923 2
decrease 8922 2
decrease 8921 2
decrease 8920 2
decrease 8919 2
decrease 8918 2
decrease 8917 2
decrease 8916 2
decrease 8915 2
decrease 8914 2
decrease 8913 2
decrease 8912 2
decrease 8911 2
decrease 8910 2
decrease 8909 2
decrease 8908 2
decrease 8907 2
decrease 8906 2
decrease 8905 2
decrease 8904 2
decrease 8903 2
decrease 8902 2
decrease 8901 2
decrease 8900 2
decrease 8899 2
decrease 8898 2
decrease 8897 2
decrease 8896 2
decrease 8895 2
decrease 8894 2
decrease 8893 2
decrease 8892 2
decrease 8891 2
decrease 8890 2
decrease 8889 2
decrease 8888 2
decrease 8887 2
decrease 8886 2
decrease 8885 2
decrease 8884 2
decrease 8883 2
decrease 8882 2
decrease 8881 2
decrease 8880 2
decrease 8879 2
decrease 8878 2
decrease 8877 2
decrease 8876 2
decrease 8875 2
decrease 8874 2
decrease 8873 2
decrease 8872 2
decrease 8871 2
decrease 8870 2
decrease 8869 2
decrease 8868 2
decrease 8867 2
decrease 8866 2
decrease 8865 2
decrease 8864 2
decrease 8863 2
decrease 8862 2
decrease 8861 2
decrease 8860 2
decrease 8859 2
decrease 8858 2
decrease 8857 2
decrease 8856 2
decrease 8855 2
decrease 8854 2
decrease 8853 2
decrease 8852 2
decrease 8851 2
decrease 8850 2
decrease 8849 2
decrease 8848 2
decrease 8847 2
decrease 8846 2
decrease 8845 2
decrease 8844 2
decrease 8843 2
decrease 8842 2
decrease 8841 2
decrease 8840 2
decrease 8839 2
decrease 8838 2
decrease 8837 2
decrease 8836 2
decrease 8835 2
decrease 8834 2
decrease 8833 2
decrease 8832 2
decrease 8831 2
decrease 8830 2
decrease 8829 2
decrease 8828 2
decrease 8827 2
decrease 8826 2
decrease 8825 2
decrease 8824 2
decrease 8823 2
decrease 8822 2
decrease 8821 2
decrease 8820 2
decrease 8819 2
decrease 8818 2
decrease 8817 2
decrease 8816 2
decrease 8815 2
decrease 8814 2
decrease 8813 2
decrease 8812 2
decrease 8811 2
decrease 8810 2
decrease 8809 2
decrease 8808 2
decrease 8807 2
decrease 8806 2
decrease 8805 2
decrease 8804 2
decrease 8803 2
decrease 8802 2
decrease 8801 2
decrease 8800 2
decrease 8799 2
decrease 8798 2
decrease 8797 2
decrease 8796 2
decrease 8795 2
decrease 8794 2
decrease 8793 2
decrease 8792 2
decrease 8791 2
decrease 8790 2
decrease 8789 2
decrease 8788 2
decrease 8787 2
decrease 8786 2
decrease 8785 2
decrease 8784 2
decrease 8783 2
decrease 8782 2
decrease 8781 2
decrease 8780 2
decrease 8779 2
decrease 8778 2
decrease 8777 2
decrease 8776 2
decrease 8775 2
decrease 8774 2
decrease 8773 2
decrease 8772 2
decrease 8771 2
decrease 8770 2
decrease 8769 2
decrease 8768 2
decrease 8767 2
decrease 8766 2
decrease 8765 2
decrease 8764 2
decrease 8763 2
decrease 8762 2
decrease 8761 2
decrease 8760 2
decrease 8759 2
decrease 8758 2
decrease 8757 2
decrease 8756 2
decrease 8755 2
decrease 8754 2
decrease 8753 2
decrease 8752 2
decrease 8751 2
decrease 8750 2
decrease 8749 2
decrease 8748 2
decrease 8747 2
decrease 8746 2
decrease 8745 2
decrease 8744 2
decrease 8743 2
decrease 8742 2
decrease 8741 2
decrease 8740 2
decrease 8739 2
decrease 8738 2
decrease 8737 2
decrease 8736 2
decrease 8735 2
decrease 8734 2
decrease 8733 2
decrease 8732 2
decrease 8731 2
decrease 8730 2
decrease 8729 2
decrease 8728 2
decrease 8727 2
decrease 8726 2
decrease 8725 2
decrease 8724 2
decrease 8723 2
decrease 8722 2
decrease 8721 2
decrease 8720 2
decrease 8719 2
decrease 8718 2
decrease 8717 2
decrease 8716 2
decrease 8715 2
decrease 8714 2
decrease 8713 2
decrease 8712 2
decrease 8711 2
decrease 8710 2
decrease 8709 2
decrease 8708 2
decrease 8707 2
decrease 8706 2
decrease 8705 2
decrease 8704 2
decrease 8703 2
decrease 8702 2
decrease 8701 2
decrease 8700 2
decrease 8699 2
decrease 8698 2
decrease 8697 2
decrease 8696 2
decrease 8695 2
decrease 8694 2
decrease 8693 2
decrease 8692 2
decrease 8691 2
decrease 8690 2
decrease 8689 2
decrease 8688 2
decrease 8687 2
decrease 8686 2
decrease 8685 2
decrease 8684 2
decrease 8683 2
decrease 8682 2
decrease 8681 2
decrease 8680 2
decrease 8679 2
decrease 8678 2
decrease 8677 2
decrease 8676 2
decrease 8675 2
decrease 8674 2
decrease 8673 2
decrease 8672 2
decrease 8671 2
decrease 8670 2
decrease 8669 2
decrease 8668 2
decrease 8667 2
decrease 8666 2
decrease 8665 2
decrease 8664 2
decrease 8663 2
decrease 8662 2
decrease 8661 2
decrease 8660 2
decrease 8659 2
decrease 8658 2
decrease 8657 2
decrease 8656 2
decrease 8655 2
decrease 8654 2
decrease 8653 2
decrease 8652 2
decrease 8651 2
decrease 8650 2
decrease 8649 2
decrease 8648 2
decrease 8647 2
decrease 8646 2
decrease 8645 2
decrease 8644 2
decrease 8643 2
decrease 8642 2
decrease 8641 2
decrease 8640 2
decrease 8639 2
decrease 8638 2
decrease 8637 2
decrease 8636 2
decrease 8635 2
decrease 8634 2
decrease 8633 2
decrease 8632 2
decrease 8631 2
decrease 8630 2
decrease 8629 2
decrease 8628 2
decrease 8627 2
decrease 8626 2
decrease 8625 2
decrease 8624 2
decrease 8623 2
decrease 8622 2
decrease 8621 2
decrease 8620 2
decrease 8619 2
decrease 8618 2
decrease 8617 2
decrease 8616 2
decrease 8615 2
decrease 8614 2
decrease 8613 2
decrease 8612 2
decrease 8611 2
decrease 8610 2
decrease 8609 2
decrease 8608 2
decrease 8607 2
decrease 8606 2
decrease 8605 2
decrease 8604 2
decrease 8603 2
decrease 8602 2
decrease 8601 2
decrease 8600 2
decrease 8599 2
decrease 8598 2
decrease 8597 2
decrease 8596 2
decrease 8595 2
decrease 8594 2
decrease 8593 2
decrease 8592 2
decrease 8591 2
decrease 8590 2
decrease 8589 2
decrease 8588 2
decrease 8587 2
decrease 8586 2
decrease 8585 2
decrease 8584 2
decrease 8583 2
decrease 8582 2
decrease 8581 2
decrease 8580 2
decrease 8579 2
decrease 8578 2
decrease 8577 2
decrease 8576 2
decrease 8575 2
decrease 8574 2
decrease 8573 2
decrease 8572 2
decrease 8571 2
decrease 8570 2
decrease 8569 2
decrease 8568 2
decrease 8567 2
decrease 8566 2
decrease 8565 2
decrease 8564 2
decrease 8563 2
decrease 8562 2
decrease 8561 2
decrease 8560 2
decrease 8559 2
decrease 8558 2
decrease 8557 2
decrease 8556 2
decrease 8555 2
decrease 8554 2
decrease 8553 2
decrease 8552 2
decrease 8551 2
decrease 8550 2
decrease 8549 2
decrease 8548 2
decrease 8547 2
decrease 8546 2
decrease 8545 2
decrease 8544 2
decrease 8543 2
decrease 8542 2
decrease 8541 2
decrease 8540 2
decrease 8539 2
decrease 8538 2
decrease 8537 2
decrease 8536 2
decrease 8535 2
decrease 8534 2
decrease 8533 2
decrease 8532 2
decrease 8531 2
decrease 8530 2
decrease 8529 2
decrease 8528 2
decrease 8527 2
decrease 8526 2
decrease 8525 2
decrease 8524 2
decrease 8523 2
decrease 8522 2
decrease 8521 2
decrease 8520 2
decrease 8519 2
decrease 8518 2
decrease 8517 2
decrease 8516 2
decrease 8515 2
decrease 8514 2
decrease 8513 2
decrease 8512 2
decrease 8511 2
decrease 8510 2
decrease 8509 2
decrease 8508 2
decrease 8507 2
decrease 8506 2
decrease 8505 2
decrease 8504 2
decrease 8503 2
decrease 8502 2
decrease 8501 2
decrease 8500 2
decrease 8499 2
decrease 8498 2
decrease 8497 2
decrease 8496 2
decrease 8495 2
decrease 8494 2
decrease 8493 2
decrease 8492 2
decrease 8491 2
decrease 8490 2
decrease 8489 2
decrease 8488 2
decrease 8487 2
decrease 8486 2
decrease 8485 2
decrease 8484 2
decrease 8483 2
decrease 8482 2
decrease 8481 2
decrease 8480 2
decrease 8479 2
decrease 8478 2
decrease 8477 2
decrease 8476 2
decrease 8475 2
decrease 8474 2
decrease 8473 2
decrease 8472 2
decrease 8471 2
decrease 8470 2
decrease 8469 2
decrease 8468 2
decrease 8467 2
decrease 8466 2
decrease 8465 2
decrease 8464 2
decrease 8463 2
decrease 8462 2
decrease 8461 2
decrease 8460 2
decrease 8459 2
decrease 8458 2
decrease 8457 2
decrease 8456 2
decrease 8455 2
decrease 8454 2
decrease 8453 2
decrease 8452 2
decrease 8451 2
decrease 8450 2
decrease 8449 2
decrease 8448 2
